customer_id,customer_name,segment,country,city,state,postal_code,region,status
AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,active
AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,active
AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,active
AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central,active
BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,active
BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,active
BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,active
CB-12025,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,45011,East,active
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,active
CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,active
CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,active
CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,active
CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,active
DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,active
DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,active
DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,active
DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,active
DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,active
DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,active
DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,active
EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,active
EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,active
EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,active
ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,active
ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,active
FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,active
FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,90032,West,active
GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,active
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,active
GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,active
GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,active
HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,active
HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,active
HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,active
IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,active
JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,active
JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,active
JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,active
JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,active
JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,active
JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,active
JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,active
JK-15640,Jim Kriz,Home Office,United States,New York City,New York,10009,East,active
JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,active
JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,active
JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,active
KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,active
KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,active
KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,active
KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,active
KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,active
KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,active
LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,active
LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,active
LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,active
LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,active
LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,active
MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,active
MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,active
MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West,active
MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,active
MZ-17515,Mary Zewe,Corporate,United States,Redlands,California,92374,West,active
NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,active
NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,active
ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,active
PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,active
PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,active
PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,active
PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,active
PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,active
PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,active
PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,active
PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,active
RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,active
RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,active
RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,active
RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,active
RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West,active
RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,active
SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,active
SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,active
SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,active
SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,active
SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,active
SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,active
SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East,active
SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,active
SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,active
SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,active
TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,active
TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,active
TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,active
TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,active
TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,active
TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,active
VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East,active
ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,active
